snr_db,N_RF,crb_r1_m,crb_r2_m,crb_theta1_deg,crb_theta2_deg,crb_r1_std_m,crb_r2_std_m,cond_J_mean,n_singular_mean
-5,8,0.296625218058295,0.619372427336181,0.0400868089831904,0.0257506721715219,0.0743016207189601,0.0884494658193142,769628.543956598,0.34
-2.5,8,0.208180030900449,0.435591797936716,0.0281008876830952,0.018099048016377,0.0528380123225531,0.0630949405715858,635397.119648186,1.28
0,8,0.150133975643044,0.314443604006023,0.0203527607237981,0.0130971388658569,0.0384181104182863,0.0477929124755892,257663.341757571,1.92
2.5,8,0.110419448539345,0.230977378196184,0.0150045287452896,0.00963162291001301,0.0287695818682154,0.0367593935862463,123318.182023422,2
5,8,0.0819177556990726,0.17118772914728,0.0111483024846836,0.00714333896315236,0.0216570805666639,0.0282151441560617,71448.1673461191,2
7.5,8,0.0610629945703937,0.127524424874845,0.00831824703590029,0.00532345605015769,0.016301916934717,0.0215063792428275,40870.6383613241,2
10,8,0.0456383124918583,0.0952737893874103,0.00622073484333524,0.00397806182503546,0.0122582008997419,0.0162953080736633,23207.1293935357,2
12.5,8,0.0341602150356918,0.0712956452460029,0.0046578462457213,0.00297725833992593,0.00920849822800557,0.0122960815581877,13121.9939359439,2
15,8,0.0255898479278639,0.0534012416155065,0.00348995931493612,0.00223016086340672,0.0069127208779572,0.00925435260456079,7401.85667074874,2
17.5,8,0.0191784595391984,0.0400187729266343,0.00261587328898064,0.00167134561156258,0.00518702335696821,0.00695429721973271,4169.61332600854,2
20,8,0.0143770943946867,0.0299986764862821,0.00196111316950506,0.00125289460848368,0.00389110481153419,0.00522119059366088,2347.04162567088,2
22.5,8,0.0107793112093334,0.0224911258244536,0.00147041077670826,0.00093935389571987,0.00291850882414885,0.00391797664745411,1320.56543191006,2
25,8,0.00808250502523904,0.016863980221115,0.00110256130905917,0.000704338260577608,0.00218882421267303,0.00293918441736005,756.621131681018,2
-5,16,0.166384607649213,0.366408680002842,0.0229606164854697,0.0149407521225461,0.0216903093057812,0.0400260506550302,679415.465767355,1.66
-2.5,16,0.12014797883356,0.264826593684188,0.0166022001702285,0.0108131261941645,0.0156619813162833,0.0285567751068505,352592.953821656,2
0,16,0.0881406367119247,0.194408401778512,0.0121859969249589,0.0079400593212256,0.0115773516798551,0.0210449048443609,207546.687699739,2
2.5,16,0.065253892093599,0.14399015802818,0.00902484032047209,0.00588177373710475,0.00862183291678271,0.0156481849460094,119885.535423728,2
5,16,0.0485741506637129,0.107212494827898,0.00671935059370426,0.00437983784201558,0.0064431935829045,0.0116848802280063,68462.5642909359,2
7.5,16,0.0362729078717101,0.080073619965008,0.00501829761700954,0.00327131782036525,0.00482311355727612,0.00874327009685163,38837.9812381302,2
10,16,0.0271362599486703,0.0599094975676704,0.00375451533049342,0.00244760016363478,0.00361339699644925,0.00654889844445435,21948.7396049708,2
12.5,16,0.020322030395857,0.044867803190698,0.00281182299803967,0.00183309953539274,0.00270826861619302,0.00490787429306698,12377.2680727069,2
15,16,0.0152278491194446,0.0336216297898064,0.00210702198805417,0.00137364217373219,0.002030337658121,0.00367910319832871,6971.23312312922,2
17.5,16,0.011414412977995,0.0252023380685435,0.00157939047712766,0.00102966918437904,0.00152229782774124,0.00275840344576313,3923.69428964308,2
20,16,0.00855755073207745,0.0188947309257804,0.00118410026111651,0.000771966996463419,0.00114146152737141,0.00206828680956315,2207.55799973128,2
22.5,16,0.00641639245643392,0.0141672118712221,0.000887833723542621,0.000578819363179401,0.000855933043128857,0.00155090222367182,1241.75001742568,2
25,16,0.00481125061625376,0.0106231352248171,0.000665732359217221,0.000434021988113896,0.000641841413320802,0.00116297301135432,698.3977384495,2
-5,32,0.105543771828506,0.241109413258015,0.0147890844861459,0.00970282401384642,0.00743686552033924,0.0131418319135821,590634.38217367,2
-2.5,32,0.0775681517202183,0.177290304721002,0.0108695987376355,0.00713694786426282,0.00547836764345646,0.00963283977334846,345714.468632003,2
0,32,0.0574907308966084,0.131441176064278,0.00805640345945258,0.00529232696173977,0.00406837185194629,0.00713567360788391,198970.433848813,2
2.5,32,0.0428235438845468,0.0979249467545813,0.00600114228224694,0.00394330461481164,0.00303452473539017,0.0053155050339947,113383.699680713,2
5,32,0.0319908050211926,0.0731611013214636,0.00448312769416289,0.0029463011674238,0.00226880993927114,0.00397150844005102,64242.5705988185,2
7.5,32,0.0239379689502881,0.0547479170245367,0.0033546397566794,0.00220486293581537,0.00169854575600226,0.00297217419452715,36280.5103535395,2
10,32,0.0179290812447465,0.0410064927863625,0.00251256978160568,0.00165149141910322,0.00127254705622152,0.00222629530788277,20451.1291587493,2
12.5,32,0.013435685086679,0.0307299939582391,0.0018828718638039,0.00123763234632254,0.00095377874470185,0.00166842888754567,11516.0985639651,2
15,32,0.0100714482891419,0.0230355790070899,0.00141141054577166,0.000927750934833935,0.000715024027883043,0.00125070082965175,6480.91625612618,2
17.5,32,0.00755087806091181,0.0172705919224533,0.00105817904953168,0.000695570622851061,0.000536104289139368,0.000937706277773508,3646.05042765487,2
20,32,0.00566166688857657,0.0129495751354515,0.000793425525361364,0.00052154346579931,0.000401984379122408,0.000703101718166495,2050.81954105675,2
22.5,32,0.00424535901460973,0.00971016119630095,0.000594944375731204,0.000391076734195902,0.000301430109239283,0.000527218701031104,1153.41707783923,2
25,32,0.00318344691484544,0.00728131944615153,0.000446128122875171,0.00029325534412832,0.000226034095724514,0.000395344252723363,648.663587884188,2
-5,64,0.0706867527380466,0.163954626930245,0.0099628586767651,0.00650279416941794,1.5381218477648e-11,1.96038349124696e-11,576898.155311523,2
-2.5,64,0.052460014292998,0.121678556998389,0.00739404651455669,0.00482612110859904,2.00836850967892e-11,2.62537554260618e-11,331239.517950948,2
0,64,0.0391066549508671,0.0907060626543955,0.00551199732150468,0.00359770074078008,2.72609822058769e-11,3.22328745638062e-11,188496.76515665,2
2.5,64,0.0292272218660434,0.0677911782796757,0.00411953763638575,0.002688837229119,3.52471158645094e-11,4.40848361419187e-11,106716.564287102,2
5,64,0.021875621550608,0.05073948414316,0.00308334998737633,0.00201251377390919,4.53722836277003e-11,5.8613961532514e-11,60240.2094644712,2
7.5,64,0.0163867897167706,0.038008394639217,0.00230970833972248,0.00150755505060939,6.37877331653217e-11,7.96614180962421e-11,33948.4181700878,2
10,64,0.0122809254695921,0.028485033966503,0.00173099108568337,0.00112982418939286,8.1815032798472e-11,1.05305271089662e-10,19113.7135359515,2
12.5,64,0.00920625884626735,0.0213534880954453,0.0012976189649904,0.000846960626322894,1.11450582829198e-10,1.37384195349519e-10,10755.7540464618,2
15,64,0.00690239739941234,0.0160097888902049,0.000972890837179587,0.00063500939337916,1.48843217754106e-10,1.8706010480392e-10,6050.72314824644,2
17.5,64,0.00517550995555497,0.0120043539780551,0.000729486715074937,0.000476138634987755,1.95460968355997e-10,2.42595716964304e-10,3403.3051968774,2
20,64,0.00388084969284765,0.00900144985865169,0.000547004766307203,0.00035703200117156,2.56179144450517e-10,3.37168175967579e-10,1914.05122064666,2
22.5,64,0.00291012753777786,0.00674990506267807,0.000410181755730075,0.00026772712214167,3.55874186316377e-10,4.47606235177984e-10,1076.42353221727,2
25,64,0.00218224601043751,0.00506161777716414,0.000307587048359251,0.0002007631816484,4.69856424374792e-10,5.8776537374234e-10,605.340693057481,2
