SNR_dB,mc_idx,iter_idx,L_val
5.00,1,1,720.0215797
5.00,1,2,719.6203257
5.00,1,3,719.3402813
5.00,1,4,719.2811205
5.00,1,5,718.9478814
5.00,1,6,718.7406599
5.00,1,7,718.5932878
5.00,1,8,718.5236533
5.00,1,9,718.3539748
5.00,1,10,718.2413155
5.00,1,11,718.2225078
5.00,1,12,718.0768405
5.00,1,13,717.9830981
5.00,1,14,717.913123
5.00,1,15,717.8551169
5.00,1,16,717.7732259
5.00,1,17,717.712107
5.00,1,18,717.6620064
5.00,1,19,717.5878528
5.00,1,20,717.5322201
5.00,1,21,717.4836408
5.00,1,22,717.4154593
5.00,1,23,717.4107805
5.00,1,24,717.3134343
5.00,1,25,717.2497338
5.00,1,26,717.236576
5.00,1,27,717.1473656
5.00,1,28,717.0877023
5.00,1,29,717.0659091
5.00,1,30,716.9843697
5.00,1,31,716.9278295
5.00,1,32,716.8981727
5.00,1,33,716.8229157
5.00,1,34,716.7692531
5.00,1,35,716.7324421
5.00,1,36,716.6629528
5.00,1,37,716.6115749
5.00,1,38,715.7241464
5.00,1,39,712.2654718
5.00,1,40,698.9182769
5.00,1,41,697.7660449
5.00,1,42,697.3247945
5.00,1,43,697.1349522
5.00,1,44,697.043426
5.00,1,45,696.988351
5.00,1,46,696.4780775
5.00,1,47,683.9504402
5.00,1,48,682.0332139
5.00,1,49,681.2143394
5.00,1,50,680.8600653
5.00,1,51,680.6804012
5.00,1,52,680.5740511
5.00,1,53,680.5590924
5.00,1,54,680.4294231
5.00,1,55,680.3520555
5.00,1,56,680.3368358
5.00,1,57,680.2406952
5.00,1,58,680.1818887
5.00,1,59,680.1593556
5.00,1,60,680.0866617
5.00,1,61,680.0392563
5.00,1,62,680.0085981
5.00,1,63,679.9513508
5.00,1,64,679.9506124
5.00,1,65,679.8733569
5.00,1,66,679.8266502
5.00,1,67,679.8079007
5.00,1,68,679.7479735
5.00,1,69,679.7079717
5.00,1,70,679.6769232
5.00,1,71,679.6282571
5.00,1,72,679.6176409
5.00,1,73,679.5532505
5.00,1,74,679.512152
5.00,1,75,679.4858298
5.00,1,76,679.434597
5.00,1,77,679.4311611
5.00,1,78,679.3618558
5.00,1,79,679.3189887
5.00,1,80,679.2971505
5.00,1,81,679.2426959
5.00,1,82,679.2053989
5.00,1,83,679.1716344
5.00,1,84,679.1269342
5.00,1,85,679.1096147
5.00,1,86,679.0518181
5.00,1,87,679.0132766
5.00,1,88,678.9824127
5.00,1,89,678.9355178
5.00,1,90,678.9229848
5.00,1,91,678.8614
5.00,1,92,678.8216446
5.00,1,93,678.7937487
5.00,1,94,678.7446514
5.00,1,95,678.7373569
5.00,1,96,678.671792
5.00,1,97,678.6305053
5.00,1,98,678.6060099
5.00,1,99,678.554253
5.00,1,100,678.5526218
5.00,1,101,678.4824991
5.00,1,102,678.4397602
5.00,1,103,678.4187684
5.00,1,104,678.3643806
5.00,1,105,678.327226
5.00,1,106,678.294017
5.00,1,107,678.2494717
5.00,1,108,678.232416
5.00,1,109,678.1749106
5.00,1,110,678.1367581
5.00,1,111,678.1060051
5.00,1,112,678.0596462
5.00,1,113,678.0469302
5.00,1,114,677.9861407
5.00,1,115,677.9467281
5.00,1,116,677.9187995
5.00,1,117,677.8702482
5.00,1,118,677.862228
5.00,1,119,677.797678
5.00,1,120,677.7570714
5.00,1,121,677.7320514
5.00,1,122,677.6813332
5.00,1,123,677.6784863
5.00,1,124,677.6100087
5.00,1,125,677.567871
5.00,1,126,677.5462159
5.00,1,127,677.4928512
5.00,1,128,677.4563108
5.00,1,129,677.4227041
5.00,1,130,677.379079
5.00,1,131,677.3610064
5.00,1,132,677.3049476
5.00,1,133,677.2673816
5.00,1,134,677.2361047
5.00,1,135,677.1906918
5.00,1,136,677.1764773
5.00,1,137,677.1173501
5.00,1,138,677.0788143
5.00,1,139,677.0499278
5.00,1,140,677.0027524
5.00,1,141,676.9927648
5.00,1,142,676.9304447
5.00,1,143,676.8906741
5.00,1,144,676.8645328
5.00,1,145,676.8152202
5.00,1,146,676.8097658
5.00,1,147,676.7438016
5.00,1,148,676.7028903
5.00,1,149,676.6795353
5.00,1,150,676.6281521
5.00,1,151,676.6276554
5.00,1,152,676.5579364
5.00,1,153,676.5155496
5.00,1,154,676.4954126
5.00,1,155,676.4414925
5.00,1,156,676.4049451
5.00,1,157,676.3723893
5.00,1,158,676.3285996
5.00,1,159,676.3118513
5.00,1,160,676.2553898
5.00,1,161,676.2178698
5.00,1,162,676.1875128
5.00,1,163,676.1420351
5.00,1,164,676.1289029
5.00,1,165,676.0695599
5.00,1,166,676.0311415
5.00,1,167,676.0030096
5.00,1,168,675.9558987
5.00,1,169,675.9466977
5.00,1,170,675.884395
5.00,1,171,675.8448258
5.00,1,172,675.8192416
5.00,1,173,675.7701476
5.00,1,174,675.7651232
5.00,1,175,675.6994571
5.00,1,176,675.6588501
5.00,1,177,675.6358156
5.00,1,178,675.5848366
5.00,1,179,675.5843452
5.00,1,180,675.5152586
5.00,1,181,675.4733
5.00,1,182,675.4532021
5.00,1,183,675.399909
5.00,1,184,675.3637743
5.00,1,185,675.3313401
5.00,1,186,675.2881218
5.00,1,187,675.2710834
5.00,1,188,675.2155072
5.00,1,189,675.1784965
5.00,1,190,675.1480439
5.00,1,191,675.10331
5.00,1,192,675.0895067
5.00,1,193,675.0313544
5.00,1,194,674.993552
5.00,1,195,674.9650792
5.00,1,196,674.918904
5.00,1,197,674.9085904
5.00,1,198,674.8478244
5.00,1,199,674.8090029
5.00,1,200,674.7827881
5.00,2,1,668.7502327
5.00,2,2,667.1555799
5.00,2,3,666.6529365
5.00,2,4,664.8250789
5.00,2,5,664.7395716
5.00,2,6,662.5956557
5.00,2,7,661.39799
5.00,2,8,660.4460322
5.00,2,9,659.150029
5.00,2,10,658.3967184
5.00,2,11,656.9715826
5.00,2,12,656.4540196
5.00,2,13,654.8623809
5.00,2,14,654.6258474
5.00,2,15,652.8226427
5.00,2,16,651.815122
5.00,2,17,650.8832935
5.00,2,18,649.7951202
5.00,2,19,649.0378639
5.00,2,20,647.8368033
5.00,2,21,647.3003601
5.00,2,22,645.9432318
5.00,2,23,645.6909187
5.00,2,24,644.1195098
5.00,2,25,643.1988431
5.00,2,26,642.3542341
5.00,2,27,641.3631547
