timestamp,sweep_type,sweep_value,SNR_dB,B_hz,K_s,M,N_RF,N,d,r_RD_m,N_MC,method,input_type,RMSE_theta_deg,RMSE_r_m,NMSE_r_dB,fail_rate_pct,runtime_s,clkl_avg_iters,clkl_conv_pct,crb_theta_deg,crb_r_m,notes
2026-05-20 18:18:16,convergence,0,0,4e+08,16,64,8,64,1,21.2625,50,WB-BPD,X_full,0.0348851,0.0206136,-47.6963,0,0.673456,,,,,
2026-05-20 18:18:16,convergence,0,0,4e+08,16,64,8,64,1,21.2625,50,WB-P-SOMP,R_hat_cell,3.36128,3.6714,-2.68276,46,0.10489,,,,,
2026-05-20 18:18:16,convergence,0,0,4e+08,16,64,8,64,1,21.2625,50,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-20 18:18:16,convergence,0,0,4e+08,16,64,8,64,1,21.2625,50,WB-CL-KL,R_hat_cell,0.0870007,4.04507,-1.84087,8,1.27676,185.12,8,0.015169,0.316665,
2026-05-20 18:18:16,convergence,0,0,4e+08,16,64,8,64,1,21.2625,50,WB-DL-OMP,X_full,0.0251103,0.22653,-26.8769,0,0.0207453,,,,,
2026-05-20 18:18:34,convergence,5,5,4e+08,16,64,8,64,1,21.2625,50,WB-BPD,X_full,0.0348851,0.0192175,-48.3055,0,0.661734,,,,,
2026-05-20 18:18:34,convergence,5,5,4e+08,16,64,8,64,1,21.2625,50,WB-P-SOMP,R_hat_cell,3.36128,3.6714,-2.68276,46,0.0943239,,,,,
2026-05-20 18:18:34,convergence,5,5,4e+08,16,64,8,64,1,21.2625,50,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-20 18:18:34,convergence,5,5,4e+08,16,64,8,64,1,21.2625,50,WB-CL-KL,R_hat_cell,0.0870007,3.99497,-1.94914,6,1.28446,196.34,2,0.00821408,0.171044,
2026-05-20 18:18:34,convergence,5,5,4e+08,16,64,8,64,1,21.2625,50,WB-DL-OMP,X_full,0.0251103,0.22653,-26.8769,0,0.015849,,,,,
2026-05-20 18:18:53,convergence,10,10,4e+08,16,64,8,64,1,21.2625,50,WB-BPD,X_full,0.0348851,0.0192175,-48.3055,0,0.664473,,,,,
2026-05-20 18:18:53,convergence,10,10,4e+08,16,64,8,64,1,21.2625,50,WB-P-SOMP,R_hat_cell,3.36128,3.6714,-2.68276,46,0.0962926,,,,,
2026-05-20 18:18:53,convergence,10,10,4e+08,16,64,8,64,1,21.2625,50,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-20 18:18:53,convergence,10,10,4e+08,16,64,8,64,1,21.2625,50,WB-CL-KL,R_hat_cell,0.0851517,3.3139,-3.5726,6,1.25389,182.22,14,0.0045646,0.0950098,
2026-05-20 18:18:53,convergence,10,10,4e+08,16,64,8,64,1,21.2625,50,WB-DL-OMP,X_full,0.0251103,0.22653,-26.8769,0,0.0154051,,,,,
2026-05-20 18:19:11,convergence,15,15,4e+08,16,64,8,64,1,21.2625,50,WB-BPD,X_full,0.0348851,0.0192175,-48.3055,0,0.678964,,,,,
2026-05-20 18:19:11,convergence,15,15,4e+08,16,64,8,64,1,21.2625,50,WB-P-SOMP,R_hat_cell,3.36128,3.6714,-2.68276,46,0.0978529,,,,,
2026-05-20 18:19:11,convergence,15,15,4e+08,16,64,8,64,1,21.2625,50,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-20 18:19:11,convergence,15,15,4e+08,16,64,8,64,1,21.2625,50,WB-CL-KL,R_hat_cell,0.0845683,3.3139,-3.5726,6,1.30793,185.84,10,0.00255717,0.0532182,
2026-05-20 18:19:11,convergence,15,15,4e+08,16,64,8,64,1,21.2625,50,WB-DL-OMP,X_full,0.0251103,0.22653,-26.8769,0,0.0155912,,,,,
