snr_db,N_RF,crb_r1_m,crb_r2_m,crb_theta1_deg,crb_theta2_deg,crb_r1_std_m,crb_r2_std_m,cond_J_mean,n_singular_mean
-5,8,2.966252e-01,6.193724e-01,4.008681e-02,2.575067e-02,7.430162e-02,8.844947e-02,7.696285e+05,0.3400
0,8,1.501340e-01,3.144436e-01,2.035276e-02,1.309714e-02,3.841811e-02,4.779291e-02,2.576633e+05,1.9200
5,8,8.191776e-02,1.711877e-01,1.114830e-02,7.143339e-03,2.165708e-02,2.821514e-02,7.144817e+04,2.0000
10,8,4.563831e-02,9.527379e-02,6.220735e-03,3.978062e-03,1.225820e-02,1.629531e-02,2.320713e+04,2.0000
15,8,2.558985e-02,5.340124e-02,3.489959e-03,2.230161e-03,6.912721e-03,9.254353e-03,7.401857e+03,2.0000
20,8,1.437709e-02,2.999868e-02,1.961113e-03,1.252895e-03,3.891105e-03,5.221191e-03,2.347042e+03,2.0000
25,8,8.082505e-03,1.686398e-02,1.102561e-03,7.043383e-04,2.188824e-03,2.939184e-03,7.566211e+02,2.0000
-5,16,1.663846e-01,3.664087e-01,2.296062e-02,1.494075e-02,2.169031e-02,4.002605e-02,6.794155e+05,1.6600
0,16,8.814064e-02,1.944084e-01,1.218600e-02,7.940059e-03,1.157735e-02,2.104490e-02,2.075467e+05,2.0000
5,16,4.857415e-02,1.072125e-01,6.719351e-03,4.379838e-03,6.443194e-03,1.168488e-02,6.846256e+04,2.0000
10,16,2.713626e-02,5.990950e-02,3.754515e-03,2.447600e-03,3.613397e-03,6.548898e-03,2.194874e+04,2.0000
15,16,1.522785e-02,3.362163e-02,2.107022e-03,1.373642e-03,2.030338e-03,3.679103e-03,6.971233e+03,2.0000
20,16,8.557551e-03,1.889473e-02,1.184100e-03,7.719670e-04,1.141462e-03,2.068287e-03,2.207558e+03,2.0000
25,16,4.811251e-03,1.062314e-02,6.657324e-04,4.340220e-04,6.418414e-04,1.162973e-03,6.983977e+02,2.0000
-5,32,1.055438e-01,2.411094e-01,1.478908e-02,9.702824e-03,7.436866e-03,1.314183e-02,5.906344e+05,2.0000
0,32,5.749073e-02,1.314412e-01,8.056403e-03,5.292327e-03,4.068372e-03,7.135674e-03,1.989704e+05,2.0000
5,32,3.199081e-02,7.316110e-02,4.483128e-03,2.946301e-03,2.268810e-03,3.971508e-03,6.424257e+04,2.0000
10,32,1.792908e-02,4.100649e-02,2.512570e-03,1.651491e-03,1.272547e-03,2.226295e-03,2.045113e+04,2.0000
15,32,1.007145e-02,2.303558e-02,1.411411e-03,9.277509e-04,7.150240e-04,1.250701e-03,6.480916e+03,2.0000
20,32,5.661667e-03,1.294958e-02,7.934255e-04,5.215435e-04,4.019844e-04,7.031017e-04,2.050820e+03,2.0000
25,32,3.183447e-03,7.281319e-03,4.461281e-04,2.932553e-04,2.260341e-04,3.953443e-04,6.486636e+02,2.0000
