M,r_RD_m,B_hz,K_s,crb_r_m,crb_theta_deg,crb_r_std_m
32,5.1482,50000000,2,9.490129e-01,2.826625e-02,1.802601e-01
32,5.1482,100000000,4,6.709914e-01,1.998346e-02,1.273142e-01
32,5.1482,200000000,8,4.742886e-01,1.411979e-02,8.960646e-02
32,5.1482,400000000,16,3.348956e-01,9.954824e-03,6.221134e-02
32,5.1482,600000000,24,2.728325e-01,8.090245e-03,4.932059e-02
32,5.1482,800000000,32,2.356085e-01,6.964073e-03,4.107287e-02
64,21.2625,50000000,2,2.480427e-01,1.416699e-02,5.639967e-02
64,21.2625,100000000,4,1.752873e-01,1.001326e-02,3.963463e-02
64,21.2625,200000000,8,1.236612e-01,7.068747e-03,2.736580e-02
64,21.2625,400000000,16,8.674942e-02,4.970250e-03,1.780937e-02
64,21.2625,600000000,24,7.012191e-02,4.030906e-03,1.306770e-02
64,21.2625,800000000,32,6.011208e-02,3.470752e-03,1.013186e-02
128,86.4054,50000000,2,5.828381e-02,6.971931e-03,1.090522e-02
128,86.4054,100000000,4,4.115220e-02,4.920966e-03,7.606137e-03
128,86.4054,200000000,8,2.895858e-02,3.457296e-03,5.132412e-03
128,86.4054,400000000,16,2.026872e-02,2.406071e-03,3.221687e-03
128,86.4054,600000000,24,1.647258e-02,1.948699e-03,2.389635e-03
128,86.4054,800000000,32,1.426338e-02,1.686937e-03,1.952446e-03
