timestamp,sweep_type,sweep_value,SNR_dB,B_hz,K_s,M,N_RF,N,d,r_RD_m,N_MC,method,input_type,RMSE_theta_deg,RMSE_r_m,NMSE_r_dB,fail_rate_pct,runtime_s,clkl_avg_iters,clkl_conv_pct,crb_theta_deg,crb_r_m,notes
2026-05-11 19:31:24,snr,-5,-5,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.114795,1.33802,-19.7584,0,0.667521,,,,,
2026-05-11 19:31:24,snr,-5,-5,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,10.4921,10.5786,-1.79903,67.5,0.095469,,,,,
2026-05-11 19:31:24,snr,-5,-5,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:31:24,snr,-5,-5,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.107589,2.16917,-15.5618,0.5,0.304349,8.015,100,0.030478,2.29858,
2026-05-11 19:31:24,snr,-5,-5,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.070665,1.95638,-16.4585,1.5,0.0165803,,,,,
2026-05-11 19:32:04,snr,0,0,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.112298,0.857299,-23.625,0,0.668819,,,,,
2026-05-11 19:32:04,snr,0,0,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,6.2241,9.94538,-2.33519,64.5,0.0945245,,,,,
2026-05-11 19:32:04,snr,0,0,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:32:04,snr,0,0,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.106983,0.859118,-23.6066,0,0.379664,8.21,100,0.0151715,1.14561,
2026-05-11 19:32:04,snr,0,0,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.0700385,1.92626,-16.5933,1,0.0141756,,,,,
2026-05-11 19:32:51,snr,5,5,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.112292,0.497883,-28.3451,0,0.618057,,,,,
2026-05-11 19:32:51,snr,5,5,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,5.70996,9.49404,-2.73859,61,0.0876188,,,,,
2026-05-11 19:32:51,snr,5,5,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:32:51,snr,5,5,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.105384,0.500973,-28.2913,0,0.656304,49.415,87,0.00821373,0.618435,
2026-05-11 19:32:51,snr,5,5,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.068901,1.99187,-16.3024,0.5,0.0126875,,,,,
2026-05-11 19:33:40,snr,10,10,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.112834,0.295051,-32.8897,0,0.617278,,,,,
2026-05-11 19:33:40,snr,10,10,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,4.86645,9.36835,-2.85435,60.5,0.0868906,,,,,
2026-05-11 19:33:40,snr,10,10,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:33:40,snr,10,10,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.104708,0.300234,-32.7384,0,0.732439,66.805,82.5,0.00456517,0.343533,
2026-05-11 19:33:40,snr,10,10,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.0699035,1.93239,-16.5657,0.5,0.0123921,,,,,
2026-05-11 19:34:33,snr,15,15,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.112834,0.178068,-37.2759,0,0.617158,,,,,
2026-05-11 19:34:33,snr,15,15,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,4.78589,9.31939,-2.89986,60,0.0874052,,,,,
2026-05-11 19:34:33,snr,15,15,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:34:33,snr,15,15,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.104343,0.186531,-36.8726,0,0.834004,81.025,74.5,0.00255764,0.192427,
2026-05-11 19:34:33,snr,15,15,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.0698377,1.948,-16.4959,0.5,0.0124812,,,,,
2026-05-11 19:35:26,snr,20,20,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.113768,0.122319,-40.5377,0,0.6145,,,,,
2026-05-11 19:35:26,snr,20,20,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,4.76641,9.16429,-3.04563,59.5,0.0870675,,,,,
2026-05-11 19:35:26,snr,20,20,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:35:26,snr,20,20,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.105392,0.134457,-39.7159,0,0.816174,77.455,81,0.00143657,0.108075,
2026-05-11 19:35:26,snr,20,20,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.0701349,1.94186,-16.5233,0.5,0.0126797,,,,,
2026-05-11 19:36:17,snr,25,25,4e+08,16,64,8,64,1,21.2625,200,WB-BPD,X_full,0.113768,0.0966491,-42.5837,0,0.61673,,,,,
2026-05-11 19:36:17,snr,25,25,4e+08,16,64,8,64,1,21.2625,200,WB-P-SOMP,R_hat_cell,4.76641,9.22181,-2.99129,59.5,0.0883696,,,,,
2026-05-11 19:36:17,snr,25,25,4e+08,16,64,8,64,1,21.2625,200,WB-BF-SOMP (N/A),N/A,,,,,,,,,,
2026-05-11 19:36:17,snr,25,25,4e+08,16,64,8,64,1,21.2625,200,WB-CL-KL,R_hat_cell,0.105392,0.111615,-41.3331,0,0.777518,64.98,88,0.000807543,0.0607513,
2026-05-11 19:36:17,snr,25,25,4e+08,16,64,8,64,1,21.2625,200,WB-DL-OMP,X_full,0.07033,1.94186,-16.5233,0.5,0.012994,,,,,
