SNR_dB,mc_idx,iter_idx,L_val
15.00,1,1,780.659662
15.00,1,2,780.5797348
15.00,1,3,780.52035
15.00,1,4,780.4946113
15.00,1,5,780.2472405
15.00,1,6,780.1322206
15.00,1,7,779.7673943
15.00,1,8,779.6448383
15.00,1,9,779.6078525
15.00,1,10,779.3895792
15.00,1,11,779.2192395
15.00,1,12,778.9120049
15.00,1,13,778.8779175
15.00,1,14,778.4371306
15.00,1,15,778.332024
15.00,1,16,778.3065959
15.00,1,17,778.0624891
15.00,1,18,777.9445154
15.00,1,19,777.5903087
15.00,1,20,777.466452
15.00,1,21,777.4269021
15.00,1,22,777.2186958
15.00,1,23,777.0361996
15.00,1,24,776.7486791
15.00,1,25,776.6854497
15.00,1,26,776.2811453
15.00,1,27,776.1677938
15.00,1,28,776.1346236
15.00,1,29,775.9128599
15.00,1,30,775.7618843
15.00,1,31,775.4478826
15.00,1,32,775.4419971
15.00,1,33,774.9857285
15.00,1,34,774.8929248
15.00,1,35,774.8748585
15.00,1,36,774.6200181
15.00,1,37,774.5097174
15.00,1,38,774.1595233
15.00,1,39,774.0337093
15.00,1,40,773.9898891
15.00,1,41,773.9869107
15.00,1,42,773.6974156
15.00,1,43,773.6379485
15.00,1,44,773.2404115
15.00,1,45,773.1276322
15.00,1,46,773.0928017
15.00,1,47,772.880488
15.00,1,48,772.7189361
15.00,1,49,772.4258552
15.00,1,50,772.3878327
15.00,1,51,771.973726
15.00,1,52,771.8710879
15.00,1,53,771.8434909
15.00,1,54,771.6166924
15.00,1,55,771.468986
15.00,1,56,771.1662192
15.00,1,57,771.1265075
15.00,1,58,770.7179108
15.00,1,59,770.6097695
15.00,1,60,770.5766725
15.00,1,61,770.3646363
15.00,1,62,770.206119
15.00,1,63,769.9185513
15.00,1,64,769.87289
15.00,1,65,769.4747803
15.00,1,66,769.3695756
15.00,1,67,769.338406
15.00,1,68,769.1246086
15.00,1,69,768.9617774
15.00,1,70,768.6824436
15.00,1,71,768.6108858
15.00,1,72,768.2422589
15.00,1,73,768.1261128
15.00,1,74,768.0857132
15.00,1,75,768.0843383
15.00,1,76,767.8001327
15.00,1,77,767.7354562
15.00,1,78,767.3629092
15.00,1,79,767.2484758
15.00,1,80,767.2087883
15.00,1,81,767.2080093
15.00,1,82,766.9236879
15.00,1,83,766.8595285
15.00,1,84,766.4893569
15.00,1,85,766.375053
15.00,1,86,766.3349546
15.00,1,87,766.3328934
15.00,1,88,766.0530433
15.00,1,89,765.9832447
15.00,1,90,765.6215412
15.00,1,91,765.5059102
15.00,1,92,765.4643792
15.00,1,93,765.4593368
15.00,1,94,765.1881397
15.00,1,95,765.1072292
15.00,1,96,764.7594094
15.00,1,97,764.6411898
15.00,1,98,764.5973541
15.00,1,99,764.587889
15.00,1,100,764.3289228
15.00,1,101,764.232347
15.00,1,102,763.9029139
15.00,1,103,763.8994384
15.00,1,104,763.478708
15.00,1,105,763.3785935
15.00,1,106,763.3468052
15.00,1,107,763.1442052
15.00,1,108,762.9821743
15.00,1,109,762.7219147
15.00,1,110,762.6405327
15.00,1,111,762.3014564
15.00,1,112,762.1866636
15.00,1,113,762.1443549
15.00,1,114,762.1345696
15.00,1,115,761.8790975
15.00,1,116,761.7915277
15.00,1,117,761.4613033
15.00,1,118,761.3450683
15.00,1,119,761.3012999
15.00,1,120,761.2886329
15.00,1,121,761.0417035
15.00,1,122,760.943082
15.00,1,123,760.6265181
15.00,1,124,760.6233692
15.00,1,125,760.2131752
15.00,1,126,760.117564
15.00,1,127,760.0876314
15.00,1,128,759.886743
15.00,1,129,759.7195955
15.00,1,130,759.4746997
15.00,1,131,759.3640558
15.00,1,132,759.0641859
15.00,1,133,759.0229176
15.00,1,134,758.6552281
15.00,1,135,758.5466031
15.00,1,136,758.5063167
15.00,1,137,758.4989209
15.00,1,138,758.2442658
15.00,1,139,758.1467817
15.00,1,140,757.8376768
15.00,1,141,757.8082943
15.00,1,142,757.4326006
15.00,1,143,757.3266803
15.00,1,144,757.2876513
15.00,1,145,757.2815926
15.00,1,146,757.0254365
15.00,1,147,756.9307596
15.00,1,148,756.6226677
15.00,1,149,756.5922206
15.00,1,150,756.2213641
15.00,1,151,756.1153228
15.00,1,152,756.0756293
15.00,1,153,756.0677499
15.00,1,154,755.818025
15.00,1,155,755.7164245
15.00,1,156,755.4189819
15.00,1,157,755.3758345
15.00,1,158,755.0213545
15.00,1,159,754.9127157
15.00,1,160,754.8707029
15.00,1,161,754.8583042
15.00,1,162,754.621863
15.00,1,163,754.5052226
15.00,1,164,754.2264627
15.00,1,165,754.1612598
15.00,1,166,753.8324292
15.00,1,167,753.8269722
15.00,1,168,753.4397682
15.00,1,169,753.339388
15.00,1,170,753.3022266
15.00,1,171,753.2968816
15.00,1,172,753.0449182
15.00,1,173,752.9483029
15.00,1,174,752.654402
15.00,1,175,752.6078989
15.00,1,176,752.2652071
15.00,1,177,752.1563148
15.00,1,178,752.112927
15.00,1,179,752.0967168
15.00,1,180,751.8742766
15.00,1,181,751.7438454
15.00,1,182,751.4872234
15.00,1,183,751.3975012
15.00,1,184,751.1014452
15.00,1,185,751.057836
15.00,1,186,750.7169411
15.00,1,187,750.6089832
15.00,1,188,750.5655752
15.00,1,189,750.5484854
15.00,1,190,750.3307265
15.00,1,191,750.1966051
15.00,1,192,749.9483188
15.00,1,193,749.8501333
15.00,1,194,749.5671414
15.00,1,195,749.5090655
15.00,1,196,749.187191
15.00,1,197,749.1737963
15.00,1,198,748.8084628
15.00,1,199,748.7070251
15.00,1,200,748.6671566
15.00,2,1,736.0291534
15.00,2,2,736.0140829
15.00,2,3,735.9930699
15.00,2,4,735.9781651
15.00,2,5,735.957085
15.00,2,6,735.942349
15.00,2,7,735.9211965
15.00,2,8,735.9066333
15.00,2,9,735.8854038
15.00,2,10,735.8710181
15.00,2,11,735.8497071
15.00,2,12,735.8355041
15.00,2,13,735.8141073
15.00,2,14,735.8000923
15.00,2,15,735.7786053
15.00,2,16,735.764784
15.00,2,17,735.7432025
15.00,2,18,735.7295806
15.00,2,19,735.7079
15.00,2,20,735.6944836
15.00,2,21,735.6726993
15.00,2,22,735.6594946
15.00,2,23,735.6376017
15.00,2,24,735.6246149
15.00,2,25,735.6026086
15.00,2,26,735.5898464
15.00,2,27,735.5677214
15.00,2,28,735.5551904
15.00,2,29,735.5329414
15.00,2,30,735.5206486
15.00,2,31,735.4982702
15.00,2,32,735.4862225
15.00,2,33,735.4637091
15.00,2,34,735.4519138
15.00,2,35,735.4292593
15.00,2,36,735.4177239
15.00,2,37,735.3949224
15.00,2,38,735.3836545
15.00,2,39,735.3606997
15.00,2,40,735.349707
15.00,2,41,735.3265924
15.00,2,42,735.315883
15.00,2,43,735.2926019
15.00,2,44,735.2821839
15.00,2,45,735.2587295
15.00,2,46,735.2486112
15.00,2,47,735.2249764
15.00,2,48,735.2151664
15.00,2,49,735.1913439
15.00,2,50,735.1818509
15.00,2,51,735.1578331
15.00,2,52,735.1486661
15.00,2,53,735.1244452
15.00,2,54,735.1156133
15.00,2,55,735.0911814
15.00,2,56,735.0826939
15.00,2,57,735.0580426
15.00,2,58,735.0499092
15.00,2,59,735.0250301
15.00,2,60,735.0172603
15.00,2,61,734.9921448
15.00,2,62,734.9847485
15.00,2,63,734.9593876
15.00,2,64,734.952375
15.00,2,65,734.9267594
15.00,2,66,734.9201408
15.00,2,67,734.8942612
15.00,2,68,734.888047
15.00,2,69,734.8618936
15.00,2,70,734.8560945
15.00,2,71,734.8296575
15.00,2,72,734.8242844
15.00,2,73,734.7975535
15.00,2,74,734.7926174
15.00,2,75,734.7655822
15.00,2,76,734.7610944
15.00,2,77,734.7337442
15.00,2,78,734.729716
15.00,2,79,734.70204
15.00,2,80,734.698483
15.00,2,81,734.6704698
15.00,2,82,734.6673959
15.00,2,83,734.6390342
15.00,2,84,734.6364551
15.00,2,85,734.6077332
15.00,2,86,734.6056611
15.00,2,87,734.576567
15.00,2,88,734.5750142
15.00,2,89,734.5455358
15.00,2,90,734.5445145
15.00,2,91,734.5146395
15.00,2,92,734.5141624
15.00,2,93,734.4838779
15.00,2,94,734.0966301
15.00,2,95,733.9584527
15.00,2,96,733.4686013
15.00,2,97,733.3437038
